"Wall: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","Wall: (0, 5)","State: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","State: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","Wall: (2, 2)","State: (2, 3)","State: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","State: (3, 4)","State: (3, 5)","State: (4, 0)","State: (4, 1)","State: (4, 2)","State: (4, 3)","Wall: (4, 4)","State: (4, 5)","Wall: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)",
0.0,25.558046572271184,35.14301082564256,36.49201300453991,36.56608759349836,0.0,-2.323234397894592,-0.533487853547379,34.79691787010872,35.9661534892845,36.50322476747896,36.600579366296195,-2.3367931783800144,-2.271101757670183,0.0,35.95798780984816,36.48494223061753,36.5414849892171,-2.34572622384432,-3.325742304091373,0.9835226471003604,31.019677307547816,35.417509257349536,35.89767649697131,-2.3501495112426967,-2.4731863203508166,-2.107849256576271,1.0514496889134626,0.0,35.24362486398775,0.0,-2.4684197492534246,-2.4439610383924553,-3.14160545674436,-3.149995180568519,29.46274967618656,
0.0,56.2080677671027,57.63137245847304,58.933939467061684,58.934390914972425,0.0,53.87872061437597,55.49684085189379,58.029615278105524,59.375253642894364,59.37944865596678,59.378718009127134,51.34420066715907,54.330568496406215,0.0,59.776442541527835,59.824840618242256,59.829053355643346,34.643623462116985,53.81060178520872,56.16435200479501,57.58313387690705,57.819308935914094,58.85081443756393,26.559967725149395,54.00745789914019,55.34803508306994,56.605569742858776,0.0,57.95813720442974,0.0,53.30550181639625,54.43229033509039,54.571782301755,54.49156989813674,55.776114308995005,
0.0,68.59801502069662,69.92450043136118,71.13644194050093,71.45293898970547,0.0,66.3059692729444,67.57555574423385,69.9473821876144,71.13679835986906,71.38488202092343,71.42303711303906,65.50112284771134,66.52874390348539,0.0,71.1425486433085,71.3023300114151,71.31949425337655,64.47667655596753,65.47171637905949,67.67377439597298,68.9725324273952,70.20104321094911,70.33625986147183,64.40823662117575,65.51115366128427,66.7416923079498,67.89337855377286,0.0,69.35509532188667,0.0,64.70464130435603,65.71606987939953,65.78185013517987,65.91915284119,67.0740267580886,
0.0,78.96451588093488,80.38287403222873,81.68235168408911,81.68261744638289,0.0,76.65203218244329,78.05135653932595,80.56379953556768,81.88288731211973,81.88528088426735,81.8828051373043,75.63707055304252,76.85329743737152,0.0,82.06181095224163,82.0836315927084,82.08383104452479,74.7458471500438,75.96852200764646,78.31062122164701,79.7311716622769,80.86015154888213,80.97207852624065,74.7011835804733,75.91081703656134,77.24870146043172,78.50746283004504,0.0,79.8639066364123,0.0,74.99152322632152,76.09303992648144,76.23418139666104,76.1857963353025,77.44206962886743,
0.0,83.07807874902478,84.37730314500082,85.5571411066263,85.3380743016727,0.0,80.77109668282931,82.04295084020116,84.4270810428589,85.61269868795193,85.19010989652504,85.14948268258176,79.71954409755118,80.826592487591,0.0,85.69483764354739,85.0200327146343,85.02159401043389,78.76747721855112,79.77747006811062,81.99104644925696,83.28207770847408,83.8410276804337,83.89760027531894,78.59343305097092,79.67617764357107,80.9002474904392,82.04564565994394,0.0,82.78771927967927,0.0,78.72625406358064,79.71294222065009,79.71122235967862,79.24262202540602,80.36335082188775,
0.0,87.2131295714326,88.58699935492582,89.84037676118207,89.95864291708423,0.0,84.86179330366218,86.20420411342054,88.6730253628584,89.93870327354996,90.04033788786491,90.15677194209084,83.86709131226424,84.93789132056737,0.0,90.04111457823558,90.00292669594904,90.24107227017281,82.86860754041639,83.95171198998963,86.25279408937675,87.62795985069918,88.72332212017857,89.02037428693019,82.65765001941595,83.80940829887852,85.10737584477192,86.32600314505233,0.0,87.84274735349757,0.0,82.81786063435699,83.872476031221,83.99638765506889,84.14103912965201,85.3433465411598,
0.0,92.0258059838139,93.47488271046791,94.80494589443572,94.83788750254264,0.0,89.5557692083297,90.97283444870007,93.51272289527391,94.84138304961876,94.86876322257325,94.91190840885031,88.50820557224277,89.63882058774243,0.0,94.87237337498958,94.76479411072168,94.94340284775507,87.42339743570243,88.56800408613732,90.93209424456452,92.38234785627012,93.42500158826127,93.66968243346189,87.15598227406406,88.36513013077428,89.72739143432123,91.01211081916355,0.0,92.43239137550462,0.0,87.3199942445624,88.43232645606182,88.59996026415229,88.59984678707677,89.8669301126153,
0.0,94.74184330060667,96.18126888358942,97.50145459787016,97.52459909041413,0.0,92.2636854132261,93.67223588887614,96.20663663279325,97.52711074245815,97.54786730997085,97.56790376246215,91.19010389422995,92.31033823206698,0.0,97.54950371350967,97.57230688525797,97.59043327007886,90.09882533389296,91.23854887646594,93.59926929355946,95.04251343082385,96.17601602776932,96.30258888475042,89.8100669100787,91.00989853437275,92.36570208397346,93.64420510295257,0.0,95.0410042636693,0.0,89.9395187180313,91.04234020911318,91.20298361031843,91.19161890948055,92.44850521885124,
0.0,96.10264818911223,97.53039295428331,98.8388623571744,98.85041564040625,0.0,93.62229597914559,95.0189794612948,97.54289653935983,98.85156984157021,98.86211803462194,98.8674674867294,92.53631937836704,93.64473695311662,0.0,98.86185316822353,98.8729238110452,98.87825657088447,91.42960599700723,92.55880164760384,94.90936573639176,96.34134814345342,97.46330686245213,97.57860432425446,91.12849566726979,92.31672847127504,93.66237682112988,94.93095257374344,0.0,96.3067791954634,0.0,91.2344492880471,92.32590635650244,92.47685469880822,92.45847323807926,93.70285085838292,
0.0,96.73655185618594,98.15802037111031,99.46022400000561,99.46559604696549,0.0,94.25547860901807,95.64570910933082,98.1638342894264,99.46613272759384,99.47103742766754,99.47352481584463,93.16380711000237,94.2659132153905,0.0,99.47091427034141,99.47606189910846,99.47854152585347,92.08418390611702,93.17341693931012,95.51844853113512,96.94430726818926,98.06068492689386,98.1731701822474,91.74690834903896,92.92518353091806,94.26531186838422,95.52848598155205,0.0,96.89674677369429,0.0,91.83747822218007,92.92287557447423,93.06889414234868,93.04999972905007,94.28768387249069,
