"State: (0, 0)","State: (0, 1)","Wall: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","State: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","State: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","State: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","Wall: (4, 5)","State: (5, 0)","State: (5, 1)","Wall: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)",
-1.0,-0.03999999910593033,0.0,-0.03999999910593033,-0.03999999910593033,-1.0,-0.03999999910593033,-0.03999999910593033,-1.0,-0.03999999910593033,0.0,-0.03999999910593033,-0.03999999910593033,1.0,-1.0,1.0,-0.03999999910593033,1.0,-0.03999999910593033,-0.03999999910593033,-1.0,1.0,0.0,-0.03999999910593033,-1.0,1.0,-1.0,-0.03999999910593033,-0.03999999910593033,0.0,-0.03999999910593033,-0.03999999910593033,0.0,-0.03999999910593033,-0.03999999910593033,-0.03999999910593033,
-18.169087419135312,-17.349454217012006,0.0,-9.491349398072456,-9.36151070698158,-10.152422085158296,-12.626353517788454,-12.67194102835721,-13.402562758122142,-12.560398334528688,0.0,-7.887707655884916,-10.327286309809352,-9.48719688624067,-11.007656704419748,-10.003411147288988,-9.868275872381169,-8.162212900355742,-10.952439186975912,-10.885328477384528,-12.02918065143555,-10.763345780330427,0.0,-5.938955361351818,-14.495221327060133,-12.68139741337881,-13.552798156878373,-12.819387332463783,-12.39248988582496,0.0,-11.574428134508391,-11.58593997625538,0.0,-10.129116418473442,-10.284735774072356,-10.15066474530616,
11.577801169778176,12.804006010909482,0.0,-5.945297749513709,-5.674525655538778,-5.277510449686804,13.331637553604025,13.608898974728808,9.656217139861063,-4.218371910639795,0.0,-4.016870401965525,14.00812853939405,14.793107538113556,12.668890900166522,-2.620805235598762,-4.016870401965525,-4.000726235930398,13.726112785783677,14.031810579892257,10.411449980532627,-0.05640536421936915,0.0,-5.297110837341751,12.422081634695255,14.103175926942665,7.994152503474517,-6.4754512926030205,-7.902694930172364,0.0,-8.979091686001107,-8.952834641261363,0.0,-8.089449336405202,-8.083155340491999,-8.11462823553411,
23.702572052097754,25.03004659226621,0.0,23.432390570115466,23.69480473912671,24.351598123391625,25.350141194581035,25.78652757838955,24.249591015704265,23.99897188197001,0.0,26.271178103406548,25.915034124056316,26.630799410886844,24.89658127608282,25.581850660425363,25.165692255598476,26.94272537321154,25.547636899683592,25.985087822643653,24.478640900909653,25.320995570311766,0.0,26.50033241209885,24.206327961197875,26.410305821059495,24.774037465760184,24.445041297719726,23.998090413260744,0.0,24.024948971505257,25.789662723733244,0.0,23.998090413260744,23.624221378107332,23.23422838019922,
29.25582924039307,30.524033357283116,0.0,37.04852027927222,42.323451306585795,43.399101652841935,30.842905569197,31.21959382355921,29.6342432729418,37.16208817474504,0.0,45.785156787519725,31.34810036922597,32.00954104460648,30.22277656899822,38.835740875952744,45.785156787519725,46.90276347495372,30.932289156921115,31.311283115559053,29.758131211854234,38.4976824197799,0.0,46.172450850773444,30.164930192376843,31.752404420428213,30.06149940239626,37.01412967891079,36.404936056662685,0.0,30.630106510076896,31.22279077968969,0.0,36.40493605666269,35.93866751439315,35.400983203739294,
38.324431731259416,40.88698370965767,0.0,54.08416549117769,54.754783693111,55.80082493388416,39.999421385914914,42.001365248798265,54.90307043975343,57.02687959806708,0.0,58.17211077749235,40.55175451249367,41.44669159435203,56.016721082987374,58.338553092658906,58.17211077749235,59.26021406047233,40.20995333836113,42.337763427591334,56.532537330243365,58.974501452922674,0.0,58.41216890481087,41.99479536322929,44.17193896075885,55.64004526194996,57.78045621314955,56.861327726234066,0.0,42.55091490333642,43.436855827351195,0.0,56.861327726234066,56.158364230220464,55.34701450504633,
60.1671722164582,62.13667075556559,0.0,65.10504607399935,62.46014934656885,63.487837849491854,62.32892491758081,63.412933108337796,64.36936637117604,66.52046302291672,0.0,65.84996918056709,64.07829451389341,65.40225154028579,65.48519842721568,67.87278882424613,65.84996918056709,66.9197852428155,63.670065688844545,64.78517302565493,65.76185990307711,68.2108478908997,0.0,65.99876543116679,62.74105107877526,64.86506968643377,64.7511479565756,66.8981066089798,65.87435705387193,0.0,62.8115684144476,63.856338029455394,0.0,65.87435705387193,65.08035894656271,64.17786473497722,
67.1502497213284,68.92730387133084,0.0,71.22432256352342,70.25858419629925,68.58437714948019,69.18111425263756,70.19819195886157,70.28312992053431,72.43649789764456,0.0,70.60896882691975,70.12012802017671,71.37928968972568,71.39068750183135,73.79814081591576,72.80040896996645,71.66744984332261,69.49425443595786,70.59843894651345,71.56952266377431,74.02011250282091,0.0,70.70119784011683,68.47697408341287,70.60183500928757,70.49109522910494,72.63475760145167,71.54705220339979,0.0,68.48780922764908,69.52936254369932,0.0,71.54705220339977,70.69653938779008,69.73837707695789,
70.72945007952003,72.49527142545814,0.0,74.78199314511868,73.7827836688595,73.08091950053347,72.75105235005678,73.75965248541034,73.84374314907507,75.98775016739354,0.0,75.25460029672594,73.68048705510216,74.93469858622585,74.94130064193395,77.34314113429251,76.31205738308269,76.33956215455173,73.0438790086734,74.1454189875625,75.11439887440194,77.56350155613102,0.0,75.32134593498371,71.99640145872682,74.1165997126429,74.00150552355423,76.13587522376,75.01100210039174,0.0,71.9743090368975,73.00679391099148,0.0,75.01100210039172,74.12676069826715,73.13632634063808,
72.90580195662994,74.6647931361163,0.0,76.94525372668205,75.92569196396579,74.42032458026937,74.92177226007881,75.92521756322658,76.00879302281619,78.14710806018942,0.0,76.46050385534622,75.8453823650591,77.09658393809833,77.10026990853784,79.49869749469488,78.44733393951913,77.50504761124418,75.20224717160238,76.30217912889995,77.26987977042519,79.71807817821157,0.0,76.48317934979565,74.13640805463761,76.25377114598834,76.13602923532837,78.2647484766513,77.11727531957015,0.0,74.09429385055424,75.12126461012576,0.0,77.11727531957015,76.21252507043289,75.20246752253902,
