HardT4TPlayer,399.09756
GrimTriggerPlayer,389.1624
TolerantPlayer,385.39117
Agarwal_Anusha_Player,385.30408
WinStayLoseShift,379.48254
SoftT4TPlayer,379.36398
T4TPlayer,372.70486
NicePlayer,348.8284
FreakyPlayer,336.98953
NastyPlayer,294.60883
RandomPlayer,283.06635

HardT4TPlayer,401.06146
TolerantPlayer,392.98407
GrimTriggerPlayer,389.6125
Agarwal_Anusha_Player,385.99274
T4TPlayer,377.98132
NicePlayer,375.43936
SoftT4TPlayer,374.31976
WinStayLoseShift,374.03314
FreakyPlayer,318.33243
RandomPlayer,298.16388
NastyPlayer,293.4164

GrimTriggerPlayer,394.2328
Agarwal_Anusha_Player,392.56708
HardT4TPlayer,392.4165
T4TPlayer,386.17465
SoftT4TPlayer,384.186
TolerantPlayer,377.94952
WinStayLoseShift,364.18628
NicePlayer,359.25333
FreakyPlayer,324.73737
RandomPlayer,306.2593
NastyPlayer,299.94232

GrimTriggerPlayer,403.80377
HardT4TPlayer,391.9259
Agarwal_Anusha_Player,387.2644
TolerantPlayer,383.31808
T4TPlayer,381.05298
SoftT4TPlayer,379.83447
WinStayLoseShift,374.10968
NicePlayer,369.23105
FreakyPlayer,312.59824
NastyPlayer,293.7007
RandomPlayer,288.90137

Agarwal_Anusha_Player,400.06183
SoftT4TPlayer,392.14526
HardT4TPlayer,390.89627
T4TPlayer,390.8156
GrimTriggerPlayer,384.71515
TolerantPlayer,381.91534
WinStayLoseShift,372.18683
NicePlayer,364.02496
FreakyPlayer,337.59348
RandomPlayer,293.04092
NastyPlayer,284.91125

Agarwal_Anusha_Player,390.6927
TolerantPlayer,389.64792
T4TPlayer,389.1314
HardT4TPlayer,381.97458
GrimTriggerPlayer,380.3793
SoftT4TPlayer,376.95447
WinStayLoseShift,368.68756
NicePlayer,362.44244
FreakyPlayer,326.17697
RandomPlayer,298.45227
NastyPlayer,276.5805

GrimTriggerPlayer,405.0522
Agarwal_Anusha_Player,393.35327
T4TPlayer,389.05005
HardT4TPlayer,382.5381
TolerantPlayer,378.37952
WinStayLoseShift,375.85742
SoftT4TPlayer,372.32593
NicePlayer,355.66983
FreakyPlayer,331.49762
RandomPlayer,299.33636
NastyPlayer,295.32788

GrimTriggerPlayer,401.17462
Agarwal_Anusha_Player,394.50012
HardT4TPlayer,391.2168
T4TPlayer,389.45013
TolerantPlayer,383.16327
SoftT4TPlayer,382.11978
WinStayLoseShift,375.06165
NicePlayer,367.67297
FreakyPlayer,342.53494
RandomPlayer,281.17
NastyPlayer,280.2263

TolerantPlayer,394.91794
GrimTriggerPlayer,394.55856
T4TPlayer,393.59363
HardT4TPlayer,390.38263
SoftT4TPlayer,385.29138
Agarwal_Anusha_Player,383.85663
WinStayLoseShift,370.67078
NicePlayer,370.55182
FreakyPlayer,319.88312
RandomPlayer,297.51013
NastyPlayer,294.52365

GrimTriggerPlayer,398.7947
TolerantPlayer,395.66418
HardT4TPlayer,389.26672
T4TPlayer,384.00793
Agarwal_Anusha_Player,383.72687
SoftT4TPlayer,377.91388
NicePlayer,368.41727
WinStayLoseShift,364.1076
FreakyPlayer,328.8531
RandomPlayer,286.88116
