"State: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","Wall: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","Wall: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","Wall: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","State: (4, 5)","State: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)",
1.0,-0.03999999910593033,-0.03999999910593033,-0.03999999910593033,-0.03999999910593033,-0.03999999910593033,0.0,-1.0,-0.03999999910593033,-0.03999999910593033,0.0,-0.03999999910593033,1.0,-0.03999999910593033,-1.0,-0.03999999910593033,0.0,-0.03999999910593033,-0.03999999910593033,1.0,-0.03999999910593033,-1.0,0.0,-0.03999999910593033,-0.03999999910593033,0.0,1.0,-0.03999999910593033,-1.0,-0.03999999910593033,1.0,-1.0,-0.03999999910593033,1.0,-0.03999999910593033,-0.03999999910593033,
1.9900000242888929,1.433120056361259,1.087111113362021,0.8130720237832855,0.5960330595120419,0.424138195591908,0.0,-1.6540811303791023,-1.3414082860723955,-1.0258612554195607,0.0,-0.03365031678993076,1.887040021851361,1.389781701371416,-0.03605228909677349,-0.26911368197824026,0.0,-0.07897138062765041,0.11117696756298165,1.3246405547104592,1.1045461716847371,-0.1558016657412611,0.0,-0.08345816605766451,0.03832652331258932,0.0,1.897390093102081,1.546308628641401,0.12171646149295734,0.044177082110516255,1.894794347761041,0.3026771553869314,0.38360193765888756,1.5558973024998526,1.2003606246815672,0.9110991701938151,
2.9701000723809017,2.290444169067641,1.7488564065855372,1.324028174443211,1.1266448894592165,0.8909610761875824,0.0,0.5174783669030438,1.294764401694103,1.0352517529147514,0.0,0.6589784276591294,2.8189410925316603,2.3749711786683507,1.1185089722458352,0.9329246894129092,0.0,0.46627459465688503,2.3347473391468236,3.221467285579658,1.7662338953094852,0.3841092585693051,0.0,-0.021536466500830385,1.4682658129408541,0.0,2.715566743290834,2.302789568604806,0.9546950178232307,0.7804789017108341,2.718226844393774,1.2127657918149963,2.3848265674088447,2.5872042345376753,2.222416318762536,1.8876200017652396,
3.940399143797536,3.358780537229295,2.9214727190568226,2.5073751696934115,2.1689168775982615,1.8312262247418203,0.0,1.0603892581465248,2.48127491633969,2.293977332809789,0.0,1.540808938350036,3.7467987275244803,2.9930676277644124,1.7910130020180506,1.6436129123450502,0.0,1.272643082014055,3.02769355584274,4.026000982083777,3.594744262665669,1.2177158913472312,0.0,0.5738750857428412,2.4035523525669147,0.0,3.7427064401539214,3.3009106759252678,1.9288553495120269,1.7232191764224356,3.6598918665173885,2.138762062068266,2.615691587551983,3.5280384985024655,3.1651824655039027,2.824297662487091,
4.900995248067494,4.279086153071204,3.883908346300806,3.5113893960427456,3.1704660230907065,2.804840642123991,0.0,2.739661078256251,3.5343857015546636,3.318028425348662,0.0,2.4865140212356653,4.638139417511709,3.785078962083252,2.38447803463519,2.9866595917780305,0.0,2.1813024904494562,3.8457203592753797,4.925198871684265,4.467348880856485,3.160609872218341,0.0,1.4384168918695481,3.3345378077757926,0.0,4.665444596903222,4.317208417243554,2.923538906404496,2.6568728659494236,4.591082984141269,3.0596127113288922,4.307209698070189,4.533973401711121,4.153690453757195,3.792358816608973,
5.851985414626568,5.289628555938086,4.8837970487363185,4.504079739296502,4.154983529909569,3.7745911618431287,0.0,3.810516565526587,4.53369332980195,4.304551714767061,0.0,3.4418060627019362,5.513308647301769,4.642638503664719,3.293440930423456,3.990935009583434,0.0,3.1178083731374073,4.736694423513227,5.811957911564243,5.351000466322361,4.060498692738644,0.0,2.3490499139296945,4.256376315681866,0.0,5.651195041135725,5.286599341508129,3.8876325050447678,3.6114543049624377,5.5120363048217325,3.9713361922298613,4.53678911651868,5.451264520820887,5.073492599761233,4.711183755507192,
6.7934657026185485,6.241339358500817,5.8354724644522245,5.453748841477448,5.10205594842271,4.7152517539412795,0.0,4.769217693113512,5.479997499549322,5.2480395852995345,0.0,4.375957098772674,6.3812908846995375,5.5208692529817975,4.179661118400289,4.92533649094242,0.0,4.043084181178579,5.616199858461243,6.688823637683392,6.230803235582739,4.945777955869245,0.0,3.285383774968146,5.168295392599433,0.0,6.541738251399841,6.170364053561595,4.774079857459208,4.521425529246593,6.422885724509857,4.873250203969018,6.163183805947312,6.429832597872075,6.027337240531051,5.6476795541281515,
7.725531210598124,7.168666044656706,6.757815201477528,6.371666852020532,6.016567374075272,5.6251511765705144,0.0,5.69225597563111,6.3952790588810515,6.159048845557127,0.0,5.281559368855293,7.24173411739112,6.388266607995266,5.054843017927299,5.826004601871349,0.0,4.943525811167812,6.486141403542265,7.55652600117797,7.092830314488942,5.805162272922551,0.0,4.191475111317068,6.070248132350825,0.0,7.493402252342517,7.106039252280616,5.697323544820991,5.444618500657173,7.32374590078928,5.7653104597926905,6.404429596288594,7.323172489494025,6.920694201098494,6.539327477006589,
8.648276086136743,8.082666140406262,7.663628104873948,7.2701344933629795,6.909227030198419,6.511872313553544,0.0,6.598137738032958,7.292555111628283,7.049655485338176,0.0,6.163151780451405,8.094513271604626,7.246555045260734,5.911705183714715,6.705360579547185,0.0,5.82003446539427,7.347080154054969,8.414319911223462,7.302503501122503,5.925642169352038,0.0,5.102050051611593,6.962316056321108,0.0,8.291761139396751,7.8387076678201195,6.457440412722156,6.317451351083045,8.214727064186846,6.647595493502838,7.910181048664594,8.26820943972577,7.832857397079654,7.436444346790869,
9.561793535332427,8.986340286297187,8.55784385701668,8.155471744612322,7.7871607666397145,7.382258895478655,0.0,7.492360307217396,8.177472100723671,7.926619449102064,0.0,7.0270532720272865,8.939572455042498,8.094418056391737,6.943296880127737,7.589099880264847,0.0,6.67779318130366,8.198428535331589,9.198733842447597,8.753668163791408,6.661508383863979,0.0,5.973627528710685,7.844602608324322,0.0,9.216796096028174,8.06017149025467,6.798395494779742,7.148132937648194,9.095937671042222,7.520206752215753,8.203992816741517,9.136070247043362,8.644261885908213,8.250128769084805,
